aa     ab        ac        ad    ae       af
-0.0   -635.678   737.9   0.0   -36.87   -53.13
0.0   -634.786   721.016   0.0   -10.454   -62.544
0.0   -636.855   706.156   0.0   5.708   -64.11
-0.0   -641.03   692.626   -0.0   18.959   -63.074
0.0   -646.632   680.413   0.0   30.407   -60.548
0.0   -652.966   669.771   0.0   40.383   -57.168
0.0   -659.355   660.975   0.0   48.991   -53.424
-0.0   -665.252   654.157   -0.0   56.281   -49.716
-0.0   -670.298   649.26   0.0   62.307   -46.355
-0.0   -674.312   646.091   0.0   67.148   -43.578
-0.0   -677.232   644.409   0.0   70.888   -41.549
0.0   -679.064   643.995   -0.0   73.598   -40.381
0.0   -679.843   644.689   -0.0   75.311   -40.157
-0.0   -679.619   646.402   -0.0   76.005   -40.936
0.0   -678.451   649.112   0.0   75.591   -42.768
-0.0   -676.422   652.852   -0.0   73.909   -45.688
-0.0   -673.645   657.693   0.0   70.74   -49.702
0.0   -670.284   663.719   -0.0   65.843   -54.748
0.0   -666.576   671.009   -0.0   59.025   -60.645
-0.0   -662.832   679.617   0.0   50.229   -67.034
0.0   -659.452   689.593   0.0   39.587   -73.368
0.0   -656.926   701.041   0.0   27.374   -78.97
0.0   -655.89   714.292   -0.0   13.844   -83.145
0.0   -657.456   730.454   0.0   -1.016   -85.214
